,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Thyroid Disease,5.291502622129181,KMeans,0.22317597,1,KMeans,0.83333333,1.0
2,,,,,,,,
3,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
4,Breast Cancer Diagnostic,5.291502622129181,KMeans,0.83333333,1,KMeans,0.22317597,1.0
5,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,1.0,1.0
0,,,,,2.0,,0.0,0.0
0,,,,,3.0,,0.0,0.0
0,,,,,4.0,,0.0,0.0
0,,,,,5.0,,0.0,0.0
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
